Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GRSM,Great Smoky Mountains National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,elk,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,WHITE-TAILED DEER,Odocoileus virginianus virginianus,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,wild hog,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,COYOTE,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,common gray fox,Urocyon cinereoargenteus cinereoargenteus,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,RED FOX,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,Domestic Cat,,Probably Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,"wild cat, Wildcat",,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,BOBCAT,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,PANTHER (MOUNTAIN LION),Felis concolor couguar,Probably Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,STRIPED SKUNK,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,EASTERN SPOTTED SKUNK,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,RIVER OTTER,Lontra canadensis lataxina,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,NORTHERN RIVER OTTER,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mustelidae,93289,180552,Active,Mustela,MINK (OR WEASEL),,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,LONG-TAILED WEASEL,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,leat weasel,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,mink,Mustela vison,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,common raccoon,Procyon lotor lotor,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,BLACK BEAR,"Ursus americanus americanus, Ursus americana",Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,267661,555664,Active,Corynorhinus rafinesquii,RAFINESQUE'S BIG-EARED BAT,Plecotus rafinesquii,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,BIG BROWN BAT,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,SILVER-HAIRED BAT,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,eastern red bat,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,HOARY BAT,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88744,180020,Active,Lasiurus seminolus,Seminole bat,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88705,179987,Active,Myotis,Mouse-eared Bats,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88712,179993,Active,Myotis austroriparius,"MISSISSIPPI MYOTIS, SOUTHEASTERN MYOTIS",,Probably Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,eastern small-footed Myotis,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,little brown bat,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88722,180000,Active,Myotis septentrionalis,"northern Myotis, Keen's Myotis",,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88723,180001,Active,Myotis sodalis,"Indiana Myotis, Social Bat",,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88746,180022,Active,Nycticeius humeralis,EVENING BAT,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,938158,947299,Active,Perimyotis subflavus,Tricolored bat,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88749,180025,Active,Pipistrellus subflavus,EASTERN PIPISTRELLE,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Cingulata,Dasypodidae,89628,180103,Active,Dasypus novemcinctus,Nine-banded armadillo,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia opossum,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Lagomorpha,Leporidae,89651,180124,Active,Sylvilagus floridanus,EASTERN COTTONTAIL,Sylvilagus floridanus floridanus,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Lagomorpha,Leporidae,631426,727971,Active,Sylvilagus floridanus mallurus,eastern cottontail,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Lagomorpha,Leporidae,260646,552514,Active,Sylvilagus obscurus,APPALACHIAN COTTONTAIL,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Lagomorpha,Leporidae,89654,180127,Active,Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Perissodactyla,Equidae,95038,180691,Active,Equus caballus,Horse,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Primates,Hominidae,89615,180092,Active,Homo sapiens,Humans,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American beaver,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,SOUTHERN RED-BACKED VOLE,Clethrionomys gapperi carolinensis,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,90765,180296,Active,Microtus,"Meadow Mice, Meadow Voles",,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,91697,180307,Active,Microtus chrotorrhinus,"ROCK VOLE, SOUTHERN ROCK VOLE, Yellow-Nosed Vole",Microtus chrotorrhinus carolinensis,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,971604,972808,Active,Microtus chrotorrhinus carolinensis,rock vole,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,MEADOW VOLE,Microtus pennsylvanicus pennsylvanicus,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,91705,180314,Active,Microtus pinetorum,"WOODLAND VOLE, PINE MOUSE",,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,983410,970612,Active,Myodes gapperi,southern red-backed vole,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,91765,180369,Active,Neotoma,Pack rats,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,91769,180372,Active,Neotoma floridana,EASTERN WOODRAT,Neotoma floridana haematoreia,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,91776,180379,Active,Ochrotomys nuttalli,GOLDEN MOUSE,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,MUSKRAT,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,107221,202378,Active,Oryzomys palustris palustris,Marsh Rice Rat,,Probably Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,90742,180275,Active,Peromyscus,Deer mice,,Present
GRSM,Great Smoky Mountains National Park,Mammal,1,Rodentia,Cricetidae,90746,180279,Active,Peromyscus gossypinus,COTTON MOUSE,,Present
