Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
DENA,Denali National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95060,180710,Active,Ovis dalli,Dall's sheep,,Present
DENA,Denali National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Present
DENA,Denali National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95050,180701,Active,Rangifer tarandus,Caribou,Rangifer arcticus,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray wolf, Wolf",Canis lupus pambasileus,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red fox,Vulpes fulvus,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Lynx,,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,"Gulo luscus, Gulo hylaeus",Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,River otter,,Probably Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,American Marten,,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Ermine, Short-tailed weasel",Mustela erminea arctica,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,Least weasel,Mustela rixosa,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American black bear, Black bear",,Present
DENA,Denali National Park and Preserve,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,"Brown bear, Grizzly bear",,Present
DENA,Denali National Park and Preserve,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,Snowshoe hare,,Present
DENA,Denali National Park and Preserve,Mammal,1,Lagomorpha,Ochotonidae,89633,180108,Active,Ochotona collaris,Collared pika,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American beaver,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90762,180293,Active,Clethrionomys rutilus,"Northern red-backed vole, Red-backed vole",Clethrionomys rutilus dawsoni,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,115313,203526,Active,Lemmus trimucronatus,Brown lemming,"Lemmus sibiricus, Lemmus trimucronatus alascensis",Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91699,180309,Active,Microtus miurus,Singing vole,Microtus miurus oreas,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90767,180298,Active,Microtus oeconomus,Tundra vole,Microtus oeconomus operarius,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,Meadow vole,Microtus drummondi,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91691,180301,Active,Microtus xanthognathus,"Taiga vole, Yellow-cheeked vole",,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,Muskrat,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91715,180323,Active,Synaptomys borealis,Northern bog lemming,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Dipodidae,91784,180386,Active,Zapus hudsonius,Meadow jumping mouse,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,Porcupine,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Sciuridae,89700,180169,Active,Glaucomys sabrinus,Northern flying squirrel,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Sciuridae,89667,180139,Active,Marmota caligata,Hoary marmot,,Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Sciuridae,89675,180146,Active,Spermophilus parryii,Arctic ground squirrel,"Spermophilus undulatus, Citellus parryi, Citellus parryi oblusus",Present
DENA,Denali National Park and Preserve,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red squirrel,Tamiasciurus hudsonicus preblei,Present
DENA,Denali National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,"Cinereus shrew, Common shrew, Masked shrew",,Present
DENA,Denali National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,88660,179946,Active,Sorex hoyi,Pygmy shrew,,Present
DENA,Denali National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,"Dusky shrew, Montane shrew","Sorex obscurus, Sorex obscurus obscurus",Present
